candidate_name,end_date,daily_average
Donald Trump,2024-10-31,48.57045454545455
Donald Trump,2024-11-01,47.4
Donald Trump,2024-11-02,48.81739130434782
Donald Trump,2024-11-03,47.4375
Donald Trump,2024-11-04,49.77333333333333
Kamala Harris,2024-07-21,46.5
Kamala Harris,2024-07-22,45.5
Kamala Harris,2024-07-23,44.0
Kamala Harris,2024-07-24,44.9
Kamala Harris,2024-07-25,47.333333333333336
Kamala Harris,2024-07-26,48.66666666666666
Kamala Harris,2024-07-27,48.0
Kamala Harris,2024-07-28,47.5
Kamala Harris,2024-07-29,48.0
Kamala Harris,2024-07-30,48.0
Kamala Harris,2024-07-31,46.66666666666666
Kamala Harris,2024-08-01,48.57142857142857
Kamala Harris,2024-08-02,49.0
Kamala Harris,2024-08-03,48.0
Kamala Harris,2024-08-04,49.0
Kamala Harris,2024-08-05,46.375
Kamala Harris,2024-08-06,49.0
Kamala Harris,2024-08-07,49.1
Kamala Harris,2024-08-08,48.475
Kamala Harris,2024-08-09,48.66666666666666
Kamala Harris,2024-08-10,49.0
Kamala Harris,2024-08-11,46.66666666666666
Kamala Harris,2024-08-12,49.0
Kamala Harris,2024-08-13,50.0
Kamala Harris,2024-08-14,47.392307692307696
Kamala Harris,2024-08-15,47.13333333333333
Kamala Harris,2024-08-16,50.0
Kamala Harris,2024-08-17,49.0
Kamala Harris,2024-08-18,49.0
Kamala Harris,2024-08-19,47.5
Kamala Harris,2024-08-20,49.0
Kamala Harris,2024-08-21,46.375
Kamala Harris,2024-08-22,48.44
Kamala Harris,2024-08-23,48.66666666666666
Kamala Harris,2024-08-24,51.0
Kamala Harris,2024-08-25,48.333333333333336
Kamala Harris,2024-08-26,49.15384615384615
Kamala Harris,2024-08-27,49.4
Kamala Harris,2024-08-28,49.40714285714286
Kamala Harris,2024-08-29,47.71428571428572
Kamala Harris,2024-08-30,49.0
Kamala Harris,2024-08-31,48.32
Kamala Harris,2024-09-01,48.5
Kamala Harris,2024-09-02,50.0
Kamala Harris,2024-09-03,50.0
Kamala Harris,2024-09-04,50.15
Kamala Harris,2024-09-05,48.625
Kamala Harris,2024-09-06,48.66666666666666
Kamala Harris,2024-09-07,49.0
Kamala Harris,2024-09-08,48.17416666666667
Kamala Harris,2024-09-09,47.5
Kamala Harris,2024-09-10,50.0
Kamala Harris,2024-09-11,48.333333333333336
Kamala Harris,2024-09-12,48.88333333333333
Kamala Harris,2024-09-13,49.7
Kamala Harris,2024-09-14,48.9
Kamala Harris,2024-09-15,47.93333333333334
Kamala Harris,2024-09-16,48.84117647058823
Kamala Harris,2024-09-17,49.142857142857146
Kamala Harris,2024-09-18,49.540000000000006
Kamala Harris,2024-09-19,48.6
Kamala Harris,2024-09-20,48.85714285714285
Kamala Harris,2024-09-21,45.57142857142857
Kamala Harris,2024-09-22,48.16666666666666
Kamala Harris,2024-09-23,50.5
Kamala Harris,2024-09-24,49.17894736842105
Kamala Harris,2024-09-25,49.53333333333333
Kamala Harris,2024-09-26,48.6375
Kamala Harris,2024-09-27,48.75
Kamala Harris,2024-09-28,49.0
Kamala Harris,2024-09-29,47.28888888888889
Kamala Harris,2024-09-30,48.385714285714286
Kamala Harris,2024-10-01,49.02857142857143
Kamala Harris,2024-10-02,48.0
Kamala Harris,2024-10-03,49.083333333333336
Kamala Harris,2024-10-04,48.63333333333333
Kamala Harris,2024-10-05,51.0
Kamala Harris,2024-10-06,49.0
Kamala Harris,2024-10-07,48.90909090909091
Kamala Harris,2024-10-08,48.93076923076923
Kamala Harris,2024-10-09,47.63333333333333
Kamala Harris,2024-10-10,48.3
Kamala Harris,2024-10-11,50.25
Kamala Harris,2024-10-12,50.0
Kamala Harris,2024-10-13,49.2
Kamala Harris,2024-10-14,47.61818181818182
Kamala Harris,2024-10-15,48.47368421052632
Kamala Harris,2024-10-16,48.52
Kamala Harris,2024-10-17,48.625
Kamala Harris,2024-10-18,48.25
Kamala Harris,2024-10-19,48.5
Kamala Harris,2024-10-20,48.20555555555556
Kamala Harris,2024-10-21,48.5
Kamala Harris,2024-10-22,48.8
Kamala Harris,2024-10-23,48.46
Kamala Harris,2024-10-24,48.57142857142857
Kamala Harris,2024-10-25,49.18181818181818
Kamala Harris,2024-10-26,48.0
Kamala Harris,2024-10-27,48.53
Kamala Harris,2024-10-28,47.94761904761905
Kamala Harris,2024-10-29,48.025
Kamala Harris,2024-10-30,48.41578947368421
Kamala Harris,2024-10-31,48.26086956521739
Kamala Harris,2024-11-01,47.75
Kamala Harris,2024-11-02,47.857446808510645
Kamala Harris,2024-11-03,48.5
Kamala Harris,2024-11-04,47.825
